"back"|"zurückgeben"
"search"|"suchen"
"up"|"oben"
"down"|"nieder"
"volume"|"volume"
"end"|"beenden"
"call"|"der anruf"
"end call"|"anruf beenden"
"waiting"|"abwartend"
"save"|"speichern"
"cancel"|"abbrechen"
"delete"|"löschen"
"change"|"wechseln"
"please"|"bitte"
"enter"|"betreten"
"your"|"ihre"
"first"|"zuerst"
"name"|"name"
"first name"|"vorname"
"last"|"letzte"
"last name"|"nachname"
"and"|"und"
"of"|"von"
"one"|"ein"
"of one"|"von einem"
"contact"|"kontakt"
"associated"|"damit verbundenen"
"with"|"mit"
"account"|"konto"
"so"|"dann"
"we"|"wir"
"can"|"kann"
"verify"|"überprüfen"
"we can verify"|"wir können es verifizieren"
"identity"|"die Identität"
"new"|"neu"
"pin"|"stift"
"restore"|"wiederherstellen"
"please enter your first name, last name, and name of one contact associated with your account so we can verify your identity."|"bitte geben Sie ihren vornamen, nachnamen und namen eines kontakts ein, der mit ihrem konto verknüpft ist. Dann werden wir ihre identität überprüfen."
"unread"|"ungelesen"
"out"|"aus"
"log out"|"ausloggen"
"logout"|"ausloggen"
"add"|"hinzufügen"
"username"|"nutzername"
"user name"|"nutzername"
"in"|"im"
"log in"|"anmeldung"
"login"|"anmeldung"
"forgot"|"vergessen"
"image"|"das bild"
"click"|"klicken"
"translate"|"übersetzen"
"send"|"senden"
"type"|"tippen"
"message"|"nachricht"
"here"|"hier"
"type your message here..."|"schreiben sie ihre nachricht hier..."
"click here to type your message..."|"klicken sie hier, um ihre nachricht einzugeben..."
"to"|"zu"
"copy"|"kopieren"
"text"|"text"
"box"|"box"
"copy to text box"|"in textfeld kopieren"
"translated message"|"übersetzte Nachricht"
"will"|"werden"
"appear"|"erscheinen"
"will appear"|"wird auftauchen"
"your translated message will appear here..."|"ihre übersetzte nachricht wird hier angezeigt..."
